"","row","column","cor","p"
"64","Nationalism_Nationalism_5","Nationalism_Nationalism_8",0.482,0
"65","Nationalism_Nationalism_6","Nationalism_Nationalism_8",0.458,0
"66","Nationalism_Nationalism_7","Nationalism_Nationalism_8",0.523,0
"70","NationalismTiming_Click.Count","Nationalism_Nationalism_9",0.042,0.022
"71","Nationalism_Nationalism_1","Nationalism_Nationalism_9",0.564,0
"72","Nationalism_Nationalism_2","Nationalism_Nationalism_9",0.516,0
"73","Nationalism_Nationalism_3","Nationalism_Nationalism_9",0.599,0
"74","Nationalism_Nationalism_4","Nationalism_Nationalism_9",0.604,0
"75","Nationalism_Nationalism_5","Nationalism_Nationalism_9",0.551,0
"76","Nationalism_Nationalism_6","Nationalism_Nationalism_9",0.422,0
"77","Nationalism_Nationalism_7","Nationalism_Nationalism_9",0.505,0
"78","Nationalism_Nationalism_8","Nationalism_Nationalism_9",0.466,0
"83","Nationalism_Nationalism_1","Nationalism_Nationalism_10",0.543,0
"84","Nationalism_Nationalism_2","Nationalism_Nationalism_10",0.456,0
"85","Nationalism_Nationalism_3","Nationalism_Nationalism_10",0.575,0
"86","Nationalism_Nationalism_4","Nationalism_Nationalism_10",0.551,0
"87","Nationalism_Nationalism_5","Nationalism_Nationalism_10",0.513,0
"88","Nationalism_Nationalism_6","Nationalism_Nationalism_10",0.414,0
"89","Nationalism_Nationalism_7","Nationalism_Nationalism_10",0.545,0
"90","Nationalism_Nationalism_8","Nationalism_Nationalism_10",0.497,0
"91","Nationalism_Nationalism_9","Nationalism_Nationalism_10",0.541,0
"93","NationalismTiming_Last.Click","Nationalism_Nationalism_11",-0.036,0.047
"94","NationalismTiming_Page.Submit","Nationalism_Nationalism_11",-0.037,0.044
"96","Nationalism_Nationalism_1","Nationalism_Nationalism_11",0.411,0
"97","Nationalism_Nationalism_2","Nationalism_Nationalism_11",0.32,0
"98","Nationalism_Nationalism_3","Nationalism_Nationalism_11",0.445,0
"99","Nationalism_Nationalism_4","Nationalism_Nationalism_11",0.394,0
"100","Nationalism_Nationalism_5","Nationalism_Nationalism_11",0.395,0
"101","Nationalism_Nationalism_6","Nationalism_Nationalism_11",0.265,0
"102","Nationalism_Nationalism_7","Nationalism_Nationalism_11",0.379,0
"103","Nationalism_Nationalism_8","Nationalism_Nationalism_11",0.322,0
"104","Nationalism_Nationalism_9","Nationalism_Nationalism_11",0.567,0
"105","Nationalism_Nationalism_10","Nationalism_Nationalism_11",0.488,0
"110","Nationalism_Nationalism_1","Nationalism_Nationalism_12",0.599,0
"111","Nationalism_Nationalism_2","Nationalism_Nationalism_12",0.469,0
"112","Nationalism_Nationalism_3","Nationalism_Nationalism_12",0.62,0
"113","Nationalism_Nationalism_4","Nationalism_Nationalism_12",0.606,0
"114","Nationalism_Nationalism_5","Nationalism_Nationalism_12",0.498,0
"115","Nationalism_Nationalism_6","Nationalism_Nationalism_12",0.453,0
"116","Nationalism_Nationalism_7","Nationalism_Nationalism_12",0.626,0
"117","Nationalism_Nationalism_8","Nationalism_Nationalism_12",0.594,0
"118","Nationalism_Nationalism_9","Nationalism_Nationalism_12",0.559,0
"119","Nationalism_Nationalism_10","Nationalism_Nationalism_12",0.636,0
"120","Nationalism_Nationalism_11","Nationalism_Nationalism_12",0.468,0
"122","NationalismTiming_Last.Click","Nationalism_Nationalism_13",0.056,0.002
"123","NationalismTiming_Page.Submit","Nationalism_Nationalism_13",0.054,0.003
"124","NationalismTiming_Click.Count","Nationalism_Nationalism_13",0.04,0.027
"125","Nationalism_Nationalism_1","Nationalism_Nationalism_13",0.719,0
"126","Nationalism_Nationalism_2","Nationalism_Nationalism_13",0.629,0
"127","Nationalism_Nationalism_3","Nationalism_Nationalism_13",0.729,0
"128","Nationalism_Nationalism_4","Nationalism_Nationalism_13",0.789,0
"129","Nationalism_Nationalism_5","Nationalism_Nationalism_13",0.599,0
"130","Nationalism_Nationalism_6","Nationalism_Nationalism_13",0.585,0
"131","Nationalism_Nationalism_7","Nationalism_Nationalism_13",0.548,0
"132","Nationalism_Nationalism_8","Nationalism_Nationalism_13",0.586,0
"133","Nationalism_Nationalism_9","Nationalism_Nationalism_13",0.582,0
"134","Nationalism_Nationalism_10","Nationalism_Nationalism_13",0.551,0
"135","Nationalism_Nationalism_11","Nationalism_Nationalism_13",0.379,0
"136","Nationalism_Nationalism_12","Nationalism_Nationalism_13",0.624,0
"140","NationalismTiming_Click.Count","Nationalism_Nationalism_14",0.055,0.002
"141","Nationalism_Nationalism_1","Nationalism_Nationalism_14",0.735,0
"142","Nationalism_Nationalism_2","Nationalism_Nationalism_14",0.529,0
"143","Nationalism_Nationalism_3","Nationalism_Nationalism_14",0.788,0
"144","Nationalism_Nationalism_4","Nationalism_Nationalism_14",0.674,0
"145","Nationalism_Nationalism_5","Nationalism_Nationalism_14",0.571,0
"146","Nationalism_Nationalism_6","Nationalism_Nationalism_14",0.523,0
"147","Nationalism_Nationalism_7","Nationalism_Nationalism_14",0.543,0
"148","Nationalism_Nationalism_8","Nationalism_Nationalism_14",0.516,0
"149","Nationalism_Nationalism_9","Nationalism_Nationalism_14",0.591,0
"150","Nationalism_Nationalism_10","Nationalism_Nationalism_14",0.584,0
"151","Nationalism_Nationalism_11","Nationalism_Nationalism_14",0.539,0
"152","Nationalism_Nationalism_12","Nationalism_Nationalism_14",0.635,0
"153","Nationalism_Nationalism_13","Nationalism_Nationalism_14",0.639,0
"155","NationalismTiming_Last.Click","Nationalism_Nationalism_15",-0.036,0.045
"156","NationalismTiming_Page.Submit","Nationalism_Nationalism_15",-0.036,0.048
"158","Nationalism_Nationalism_1","Nationalism_Nationalism_15",0.363,0
"159","Nationalism_Nationalism_2","Nationalism_Nationalism_15",0.312,0
"160","Nationalism_Nationalism_3","Nationalism_Nationalism_15",0.413,0
"161","Nationalism_Nationalism_4","Nationalism_Nationalism_15",0.363,0
"162","Nationalism_Nationalism_5","Nationalism_Nationalism_15",0.403,0
"163","Nationalism_Nationalism_6","Nationalism_Nationalism_15",0.225,0
"164","Nationalism_Nationalism_7","Nationalism_Nationalism_15",0.381,0
"165","Nationalism_Nationalism_8","Nationalism_Nationalism_15",0.275,0
"166","Nationalism_Nationalism_9","Nationalism_Nationalism_15",0.546,0
"167","Nationalism_Nationalism_10","Nationalism_Nationalism_15",0.487,0
"168","Nationalism_Nationalism_11","Nationalism_Nationalism_15",0.622,0
"169","Nationalism_Nationalism_12","Nationalism_Nationalism_15",0.434,0
"170","Nationalism_Nationalism_13","Nationalism_Nationalism_15",0.338,0
"171","Nationalism_Nationalism_14","Nationalism_Nationalism_15",0.492,0
"176","Nationalism_Nationalism_1","Nationalism_Nationalism_16",0.427,0
"177","Nationalism_Nationalism_2","Nationalism_Nationalism_16",0.41,0
"178","Nationalism_Nationalism_3","Nationalism_Nationalism_16",0.458,0
"179","Nationalism_Nationalism_4","Nationalism_Nationalism_16",0.46,0
"180","Nationalism_Nationalism_5","Nationalism_Nationalism_16",0.444,0
"181","Nationalism_Nationalism_6","Nationalism_Nationalism_16",0.325,0
"182","Nationalism_Nationalism_7","Nationalism_Nationalism_16",0.411,0
"183","Nationalism_Nationalism_8","Nationalism_Nationalism_16",0.372,0
"184","Nationalism_Nationalism_9","Nationalism_Nationalism_16",0.577,0
"185","Nationalism_Nationalism_10","Nationalism_Nationalism_16",0.504,0
"186","Nationalism_Nationalism_11","Nationalism_Nationalism_16",0.514,0
"187","Nationalism_Nationalism_12","Nationalism_Nationalism_16",0.457,0
"188","Nationalism_Nationalism_13","Nationalism_Nationalism_16",0.442,0
"189","Nationalism_Nationalism_14","Nationalism_Nationalism_16",0.493,0
"190","Nationalism_Nationalism_15","Nationalism_Nationalism_16",0.58,0
"191","NationalismTiming_First.Click","EconMobTiming_First.Click",0.048,0.008
"192","NationalismTiming_Last.Click","EconMobTiming_First.Click",0.083,0
"193","NationalismTiming_Page.Submit","EconMobTiming_First.Click",0.084,0
"211","NationalismTiming_First.Click","EconMobTiming_Last.Click",0.073,0
"212","NationalismTiming_Last.Click","EconMobTiming_Last.Click",0.215,0
"213","NationalismTiming_Page.Submit","EconMobTiming_Last.Click",0.212,0
"214","NationalismTiming_Click.Count","EconMobTiming_Last.Click",0.099,0
"217","Nationalism_Nationalism_3","EconMobTiming_Last.Click",0.036,0.049
"218","Nationalism_Nationalism_4","EconMobTiming_Last.Click",0.042,0.022
"222","Nationalism_Nationalism_8","EconMobTiming_Last.Click",0.044,0.016
"227","Nationalism_Nationalism_13","EconMobTiming_Last.Click",0.037,0.044
"231","EconMobTiming_First.Click","EconMobTiming_Last.Click",0.632,0
"232","NationalismTiming_First.Click","EconMobTiming_Page.Submit",0.068,0
"233","NationalismTiming_Last.Click","EconMobTiming_Page.Submit",0.196,0
"234","NationalismTiming_Page.Submit","EconMobTiming_Page.Submit",0.198,0
"235","NationalismTiming_Click.Count","EconMobTiming_Page.Submit",0.076,0
"239","Nationalism_Nationalism_4","EconMobTiming_Page.Submit",0.039,0.035
"243","Nationalism_Nationalism_8","EconMobTiming_Page.Submit",0.036,0.046
"252","EconMobTiming_First.Click","EconMobTiming_Page.Submit",0.597,0
"253","EconMobTiming_Last.Click","EconMobTiming_Page.Submit",0.94,0
"255","NationalismTiming_Last.Click","EconMobTiming_Click.Count",0.065,0
"256","NationalismTiming_Page.Submit","EconMobTiming_Click.Count",0.055,0.003
"257","NationalismTiming_Click.Count","EconMobTiming_Click.Count",0.918,0
"258","Nationalism_Nationalism_1","EconMobTiming_Click.Count",0.039,0.03
"266","Nationalism_Nationalism_9","EconMobTiming_Click.Count",0.039,0.032
"271","Nationalism_Nationalism_14","EconMobTiming_Click.Count",0.052,0.004
"275","EconMobTiming_Last.Click","EconMobTiming_Click.Count",0.122,0
"276","EconMobTiming_Page.Submit","EconMobTiming_Click.Count",0.099,0
"281","Nationalism_Nationalism_1","EconMob_EconMob_1",0.369,0
"282","Nationalism_Nationalism_2","EconMob_EconMob_1",0.317,0
"283","Nationalism_Nationalism_3","EconMob_EconMob_1",0.402,0
"284","Nationalism_Nationalism_4","EconMob_EconMob_1",0.391,0
"285","Nationalism_Nationalism_5","EconMob_EconMob_1",0.374,0
"286","Nationalism_Nationalism_6","EconMob_EconMob_1",0.284,0
"287","Nationalism_Nationalism_7","EconMob_EconMob_1",0.381,0
"288","Nationalism_Nationalism_8","EconMob_EconMob_1",0.361,0
"289","Nationalism_Nationalism_9","EconMob_EconMob_1",0.446,0
"290","Nationalism_Nationalism_10","EconMob_EconMob_1",0.451,0
"291","Nationalism_Nationalism_11","EconMob_EconMob_1",0.407,0
"292","Nationalism_Nationalism_12","EconMob_EconMob_1",0.451,0
"293","Nationalism_Nationalism_13","EconMob_EconMob_1",0.406,0
"294","Nationalism_Nationalism_14","EconMob_EconMob_1",0.421,0
"295","Nationalism_Nationalism_15","EconMob_EconMob_1",0.4,0
"296","Nationalism_Nationalism_16","EconMob_EconMob_1",0.424,0
"300","EconMobTiming_Click.Count","EconMob_EconMob_1",0.039,0.034
"305","Nationalism_Nationalism_1","EconMob_EconMob_2",0.356,0
"306","Nationalism_Nationalism_2","EconMob_EconMob_2",0.264,0
"307","Nationalism_Nationalism_3","EconMob_EconMob_2",0.379,0
"308","Nationalism_Nationalism_4","EconMob_EconMob_2",0.375,0
"309","Nationalism_Nationalism_5","EconMob_EconMob_2",0.339,0
"310","Nationalism_Nationalism_6","EconMob_EconMob_2",0.253,0
"311","Nationalism_Nationalism_7","EconMob_EconMob_2",0.377,0
"312","Nationalism_Nationalism_8","EconMob_EconMob_2",0.354,0
"313","Nationalism_Nationalism_9","EconMob_EconMob_2",0.444,0
"314","Nationalism_Nationalism_10","EconMob_EconMob_2",0.433,0
"315","Nationalism_Nationalism_11","EconMob_EconMob_2",0.428,0
"316","Nationalism_Nationalism_12","EconMob_EconMob_2",0.458,0
"317","Nationalism_Nationalism_13","EconMob_EconMob_2",0.371,0
"318","Nationalism_Nationalism_14","EconMob_EconMob_2",0.413,0
"319","Nationalism_Nationalism_15","EconMob_EconMob_2",0.37,0
"320","Nationalism_Nationalism_16","EconMob_EconMob_2",0.373,0
"325","EconMob_EconMob_1","EconMob_EconMob_2",0.635,0
"326","NationalismTiming_First.Click","EconMob_EconMob_3",-0.039,0.035
"330","Nationalism_Nationalism_1","EconMob_EconMob_3",-0.228,0
"331","Nationalism_Nationalism_2","EconMob_EconMob_3",-0.152,0
"332","Nationalism_Nationalism_3","EconMob_EconMob_3",-0.257,0
"333","Nationalism_Nationalism_4","EconMob_EconMob_3",-0.242,0
"334","Nationalism_Nationalism_5","EconMob_EconMob_3",-0.221,0
"335","Nationalism_Nationalism_6","EconMob_EconMob_3",-0.128,0
"336","Nationalism_Nationalism_7","EconMob_EconMob_3",-0.23,0
"337","Nationalism_Nationalism_8","EconMob_EconMob_3",-0.205,0
"338","Nationalism_Nationalism_9","EconMob_EconMob_3",-0.29,0
"339","Nationalism_Nationalism_10","EconMob_EconMob_3",-0.319,0
"340","Nationalism_Nationalism_11","EconMob_EconMob_3",-0.319,0
"341","Nationalism_Nationalism_12","EconMob_EconMob_3",-0.298,0
"342","Nationalism_Nationalism_13","EconMob_EconMob_3",-0.218,0
"343","Nationalism_Nationalism_14","EconMob_EconMob_3",-0.274,0
"344","Nationalism_Nationalism_15","EconMob_EconMob_3",-0.29,0
"345","Nationalism_Nationalism_16","EconMob_EconMob_3",-0.282,0
"350","EconMob_EconMob_1","EconMob_EconMob_3",-0.485,0
"351","EconMob_EconMob_2","EconMob_EconMob_3",-0.482,0
"352","NationalismTiming_First.Click","EconMob_EconMob_4",-0.046,0.011
"356","Nationalism_Nationalism_1","EconMob_EconMob_4",-0.205,0
"357","Nationalism_Nationalism_2","EconMob_EconMob_4",-0.129,0
"358","Nationalism_Nationalism_3","EconMob_EconMob_4",-0.234,0
"359","Nationalism_Nationalism_4","EconMob_EconMob_4",-0.195,0
"360","Nationalism_Nationalism_5","EconMob_EconMob_4",-0.214,0
"361","Nationalism_Nationalism_6","EconMob_EconMob_4",-0.107,0
"362","Nationalism_Nationalism_7","EconMob_EconMob_4",-0.193,0
"363","Nationalism_Nationalism_8","EconMob_EconMob_4",-0.153,0
"364","Nationalism_Nationalism_9","EconMob_EconMob_4",-0.259,0
"365","Nationalism_Nationalism_10","EconMob_EconMob_4",-0.28,0
"366","Nationalism_Nationalism_11","EconMob_EconMob_4",-0.282,0
"367","Nationalism_Nationalism_12","EconMob_EconMob_4",-0.266,0
"368","Nationalism_Nationalism_13","EconMob_EconMob_4",-0.194,0
"369","Nationalism_Nationalism_14","EconMob_EconMob_4",-0.251,0
"370","Nationalism_Nationalism_15","EconMob_EconMob_4",-0.263,0
"371","Nationalism_Nationalism_16","EconMob_EconMob_4",-0.262,0
"373","EconMobTiming_Last.Click","EconMob_EconMob_4",0.039,0.031
"374","EconMobTiming_Page.Submit","EconMob_EconMob_4",0.043,0.02
"376","EconMob_EconMob_1","EconMob_EconMob_4",-0.522,0
"377","EconMob_EconMob_2","EconMob_EconMob_4",-0.472,0
"378","EconMob_EconMob_3","EconMob_EconMob_4",0.607,0
"383","Nationalism_Nationalism_1","EconMob_EconMob_5",0.432,0
"384","Nationalism_Nationalism_2","EconMob_EconMob_5",0.345,0
"385","Nationalism_Nationalism_3","EconMob_EconMob_5",0.456,0
"386","Nationalism_Nationalism_4","EconMob_EconMob_5",0.457,0
"387","Nationalism_Nationalism_5","EconMob_EconMob_5",0.413,0
"388","Nationalism_Nationalism_6","EconMob_EconMob_5",0.339,0
"389","Nationalism_Nationalism_7","EconMob_EconMob_5",0.441,0
"390","Nationalism_Nationalism_8","EconMob_EconMob_5",0.44,0
"391","Nationalism_Nationalism_9","EconMob_EconMob_5",0.476,0
"392","Nationalism_Nationalism_10","EconMob_EconMob_5",0.474,0
"393","Nationalism_Nationalism_11","EconMob_EconMob_5",0.377,0
"394","Nationalism_Nationalism_12","EconMob_EconMob_5",0.524,0
"395","Nationalism_Nationalism_13","EconMob_EconMob_5",0.487,0
"396","Nationalism_Nationalism_14","EconMob_EconMob_5",0.455,0
"397","Nationalism_Nationalism_15","EconMob_EconMob_5",0.355,0
"398","Nationalism_Nationalism_16","EconMob_EconMob_5",0.389,0
"403","EconMob_EconMob_1","EconMob_EconMob_5",0.625,0
"404","EconMob_EconMob_2","EconMob_EconMob_5",0.595,0
"405","EconMob_EconMob_3","EconMob_EconMob_5",-0.415,0
"406","EconMob_EconMob_4","EconMob_EconMob_5",-0.39,0
"411","Nationalism_Nationalism_1","EconMob_EconMob_6",0.431,0
"412","Nationalism_Nationalism_2","EconMob_EconMob_6",0.362,0
"413","Nationalism_Nationalism_3","EconMob_EconMob_6",0.45,0
"414","Nationalism_Nationalism_4","EconMob_EconMob_6",0.455,0
"415","Nationalism_Nationalism_5","EconMob_EconMob_6",0.407,0
"416","Nationalism_Nationalism_6","EconMob_EconMob_6",0.357,0
"417","Nationalism_Nationalism_7","EconMob_EconMob_6",0.421,0
"418","Nationalism_Nationalism_8","EconMob_EconMob_6",0.414,0
"419","Nationalism_Nationalism_9","EconMob_EconMob_6",0.493,0
"420","Nationalism_Nationalism_10","EconMob_EconMob_6",0.462,0
"421","Nationalism_Nationalism_11","EconMob_EconMob_6",0.361,0
"422","Nationalism_Nationalism_12","EconMob_EconMob_6",0.498,0
"423","Nationalism_Nationalism_13","EconMob_EconMob_6",0.474,0
"424","Nationalism_Nationalism_14","EconMob_EconMob_6",0.449,0
"425","Nationalism_Nationalism_15","EconMob_EconMob_6",0.345,0
"426","Nationalism_Nationalism_16","EconMob_EconMob_6",0.399,0
"431","EconMob_EconMob_1","EconMob_EconMob_6",0.659,0
"432","EconMob_EconMob_2","EconMob_EconMob_6",0.617,0
"433","EconMob_EconMob_3","EconMob_EconMob_6",-0.407,0
"434","EconMob_EconMob_4","EconMob_EconMob_6",-0.425,0
"435","EconMob_EconMob_5","EconMob_EconMob_6",0.747,0
"440","Nationalism_Nationalism_1","EconMob_EconMob_7",-0.166,0
"441","Nationalism_Nationalism_2","EconMob_EconMob_7",-0.062,0.001
"442","Nationalism_Nationalism_3","EconMob_EconMob_7",-0.174,0
"443","Nationalism_Nationalism_4","EconMob_EconMob_7",-0.163,0
"444","Nationalism_Nationalism_5","EconMob_EconMob_7",-0.141,0
"445","Nationalism_Nationalism_6","EconMob_EconMob_7",-0.066,0
"446","Nationalism_Nationalism_7","EconMob_EconMob_7",-0.139,0
"447","Nationalism_Nationalism_8","EconMob_EconMob_7",-0.13,0
"448","Nationalism_Nationalism_9","EconMob_EconMob_7",-0.231,0
"449","Nationalism_Nationalism_10","EconMob_EconMob_7",-0.238,0
"450","Nationalism_Nationalism_11","EconMob_EconMob_7",-0.241,0
"451","Nationalism_Nationalism_12","EconMob_EconMob_7",-0.232,0
"452","Nationalism_Nationalism_13","EconMob_EconMob_7",-0.15,0
"453","Nationalism_Nationalism_14","EconMob_EconMob_7",-0.206,0
"454","Nationalism_Nationalism_15","EconMob_EconMob_7",-0.191,0
"455","Nationalism_Nationalism_16","EconMob_EconMob_7",-0.167,0
"460","EconMob_EconMob_1","EconMob_EconMob_7",-0.364,0
"461","EconMob_EconMob_2","EconMob_EconMob_7",-0.428,0
"462","EconMob_EconMob_3","EconMob_EconMob_7",0.462,0
"463","EconMob_EconMob_4","EconMob_EconMob_7",0.512,0
"464","EconMob_EconMob_5","EconMob_EconMob_7",-0.377,0
"465","EconMob_EconMob_6","EconMob_EconMob_7",-0.389,0
"470","Nationalism_Nationalism_1","EconMob_EconMob_8",-0.192,0
"471","Nationalism_Nationalism_2","EconMob_EconMob_8",-0.12,0
"472","Nationalism_Nationalism_3","EconMob_EconMob_8",-0.219,0
"473","Nationalism_Nationalism_4","EconMob_EconMob_8",-0.208,0
"474","Nationalism_Nationalism_5","EconMob_EconMob_8",-0.195,0
"475","Nationalism_Nationalism_6","EconMob_EconMob_8",-0.12,0
"476","Nationalism_Nationalism_7","EconMob_EconMob_8",-0.187,0
"477","Nationalism_Nationalism_8","EconMob_EconMob_8",-0.192,0
"478","Nationalism_Nationalism_9","EconMob_EconMob_8",-0.258,0
"479","Nationalism_Nationalism_10","EconMob_EconMob_8",-0.247,0
"480","Nationalism_Nationalism_11","EconMob_EconMob_8",-0.224,0
"481","Nationalism_Nationalism_12","EconMob_EconMob_8",-0.274,0
"482","Nationalism_Nationalism_13","EconMob_EconMob_8",-0.2,0
"483","Nationalism_Nationalism_14","EconMob_EconMob_8",-0.22,0
"484","Nationalism_Nationalism_15","EconMob_EconMob_8",-0.185,0
"485","Nationalism_Nationalism_16","EconMob_EconMob_8",-0.189,0
"490","EconMob_EconMob_1","EconMob_EconMob_8",-0.424,0
"491","EconMob_EconMob_2","EconMob_EconMob_8",-0.467,0
"492","EconMob_EconMob_3","EconMob_EconMob_8",0.472,0
"493","EconMob_EconMob_4","EconMob_EconMob_8",0.537,0
"494","EconMob_EconMob_5","EconMob_EconMob_8",-0.441,0
"495","EconMob_EconMob_6","EconMob_EconMob_8",-0.472,0
"496","EconMob_EconMob_7","EconMob_EconMob_8",0.665,0
"501","Nationalism_Nationalism_1","EconMob_EconMob_9",0.327,0
"502","Nationalism_Nationalism_2","EconMob_EconMob_9",0.227,0
"503","Nationalism_Nationalism_3","EconMob_EconMob_9",0.373,0
"504","Nationalism_Nationalism_4","EconMob_EconMob_9",0.321,0
"505","Nationalism_Nationalism_5","EconMob_EconMob_9",0.303,0
"506","Nationalism_Nationalism_6","EconMob_EconMob_9",0.203,0
"507","Nationalism_Nationalism_7","EconMob_EconMob_9",0.327,0
"508","Nationalism_Nationalism_8","EconMob_EconMob_9",0.31,0
"509","Nationalism_Nationalism_9","EconMob_EconMob_9",0.429,0
"510","Nationalism_Nationalism_10","EconMob_EconMob_9",0.429,0
"511","Nationalism_Nationalism_11","EconMob_EconMob_9",0.461,0
"512","Nationalism_Nationalism_12","EconMob_EconMob_9",0.43,0
"513","Nationalism_Nationalism_13","EconMob_EconMob_9",0.329,0
"514","Nationalism_Nationalism_14","EconMob_EconMob_9",0.419,0
"515","Nationalism_Nationalism_15","EconMob_EconMob_9",0.444,0
"516","Nationalism_Nationalism_16","EconMob_EconMob_9",0.385,0
"521","EconMob_EconMob_1","EconMob_EconMob_9",0.49,0
"522","EconMob_EconMob_2","EconMob_EconMob_9",0.534,0
"523","EconMob_EconMob_3","EconMob_EconMob_9",-0.323,0
"524","EconMob_EconMob_4","EconMob_EconMob_9",-0.304,0
"525","EconMob_EconMob_5","EconMob_EconMob_9",0.483,0
"526","EconMob_EconMob_6","EconMob_EconMob_9",0.472,0
"527","EconMob_EconMob_7","EconMob_EconMob_9",-0.273,0
"528","EconMob_EconMob_8","EconMob_EconMob_9",-0.289,0
"530","NationalismTiming_Last.Click","EconMob_EconMob_10",-0.052,0.004
"531","NationalismTiming_Page.Submit","EconMob_EconMob_10",-0.051,0.005
"533","Nationalism_Nationalism_1","EconMob_EconMob_10",0.33,0
"534","Nationalism_Nationalism_2","EconMob_EconMob_10",0.207,0
"535","Nationalism_Nationalism_3","EconMob_EconMob_10",0.354,0
"536","Nationalism_Nationalism_4","EconMob_EconMob_10",0.319,0
"537","Nationalism_Nationalism_5","EconMob_EconMob_10",0.303,0
"538","Nationalism_Nationalism_6","EconMob_EconMob_10",0.207,0
"539","Nationalism_Nationalism_7","EconMob_EconMob_10",0.33,0
"540","Nationalism_Nationalism_8","EconMob_EconMob_10",0.302,0
"541","Nationalism_Nationalism_9","EconMob_EconMob_10",0.419,0
"542","Nationalism_Nationalism_10","EconMob_EconMob_10",0.419,0
"543","Nationalism_Nationalism_11","EconMob_EconMob_10",0.455,0
"544","Nationalism_Nationalism_12","EconMob_EconMob_10",0.421,0
"545","Nationalism_Nationalism_13","EconMob_EconMob_10",0.305,0
"546","Nationalism_Nationalism_14","EconMob_EconMob_10",0.404,0
"547","Nationalism_Nationalism_15","EconMob_EconMob_10",0.429,0
"548","Nationalism_Nationalism_16","EconMob_EconMob_10",0.356,0
"550","EconMobTiming_Last.Click","EconMob_EconMob_10",-0.038,0.04
"551","EconMobTiming_Page.Submit","EconMob_EconMob_10",-0.042,0.021
"553","EconMob_EconMob_1","EconMob_EconMob_10",0.532,0
"554","EconMob_EconMob_2","EconMob_EconMob_10",0.618,0
"555","EconMob_EconMob_3","EconMob_EconMob_10",-0.412,0
"556","EconMob_EconMob_4","EconMob_EconMob_10",-0.428,0
"557","EconMob_EconMob_5","EconMob_EconMob_10",0.52,0
"558","EconMob_EconMob_6","EconMob_EconMob_10",0.52,0
"559","EconMob_EconMob_7","EconMob_EconMob_10",-0.412,0
"560","EconMob_EconMob_8","EconMob_EconMob_10",-0.411,0
